Smoothing method,Smoothing parameter,Curving parameter,Turning parameter,Mixing method,Mixing parameter,Threshold,Standard error,Mean error,Min error,Max error
SMA,4,1,4,minmax,1,0.0023,1.62754074876461,3.13333333333285,0.999999999999091,6
SMA,3,0.7,8,minmax,1,0.0084,1.66799946709287,3.13333333333248,0.999999999999091,6
EMA,0.5,0.9,5,minmax,1,0.0038,1.69181033872615,2.26666666666588,0,4.99999999999818
EMA,0.5,1,5,minmax,1,0.0027,1.72046505340808,2.19999999999927,0,4.99999999999818
EMA,0.5,1,5,minmax,1,0.0025,1.78387842136746,2.13333333333267,0,4.99999999999818
EMA,0.7,0.6,10,minmax,1,0.0142,1.78885438199932,1.99999999999945,0,4.99999999999818
EMA,0.5,0.7,8,minmax,1,0.007,1.86904610251651,1.79999999999945,-1.00000000000182,4.99999999999818
EMA,0.4,0.9,8,minmax,1,0.0027,1.88561808316373,1.66666666666606,-1.00000000000182,4.99999999999818
EMA,0.4,0.9,9,minmax,1,0.0027,1.92527054375888,1.59999999999927,-1.00000000000182,4.99999999999818
EMA,0.3,1,8,minmax,1,0.0014,2.12498366006784,1.53333333333267,-1.00000000000182,4.99999999999818
EMA,0.4,1,9,minmax,1,0.0019,2.18682926224729,1.46666666666588,-2.00000000000091,4.99999999999818
